"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","xQcOW","7655007615","219270","222720","34000","4090084","2401633","114250588","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c495b77e-7f47-4bc5-a216-3045d7545796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Gaules","6462149085","515895","387315","12535","2069743","1185345","115916046","true","true","Portuguese","Gaules"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","summit1g","6185436135","215010","310998","25813","5390362","1390511","91024505","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","ESL_CSGO","4773101460","517785","300575","9265","4210170","879747","126441877","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff13760d-d795-49d9-8f3f-f05035930c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","NICKMERCS","3988825200","131070","163241","30436","4510932","1394640","50105148","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","loltyler1","3701371920","134895","105499","26919","3811035","1109386","62217589","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","Fextralife","3698330880","162360","68795","20109","537814","440730","689966782","true","false","English","Fextralife"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","auronplay","3447840885","48150","191742","67755","5409714","4867631","60546689","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9","Rubius","3356748180","63465","240096","50926","6805282","4378099","77551966","true","false","Spanish","Rubius"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Tfue","3234231780","131175","190173","24821","9486522","2269085","69503946","true","false","English","Tfue"
